SEASON,SUBBASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,RI
2005,NA,KATRINA,8/25/2005 3:00,26.0874,-78.0654,47,0
2005,NA,KATRINA,8/25/2005 6:00,26.1,-78.4,50,0
2005,NA,KATRINA,8/25/2005 9:00,26.1574,-78.7075,52,0
2005,NA,KATRINA,8/25/2005 12:00,26.2,-79,55,0
2005,NA,KATRINA,8/25/2005 15:00,26.2302,-79.2941,57,0
2005,NA,KATRINA,8/25/2005 18:00,26.2,-79.6,60,0
2005,NA,KATRINA,8/25/2005 21:00,26.0865,-79.919,66,0
2005,NA,KATRINA,8/25/2005 22:30,26,-80.1,70,0
2005,NA,KATRINA,8/26/2005 0:00,25.9,-80.3,70,0
2005,NA,KATRINA,8/26/2005 3:00,25.6502,-80.794,67,0
2005,GM,KATRINA,8/26/2005 6:00,25.4,-81.3,65,0
2005,GM,KATRINA,8/26/2005 9:00,25.2273,-81.6797,70,0
2005,GM,KATRINA,8/26/2005 12:00,25.1,-82,75,1
2005,GM,KATRINA,8/26/2005 15:00,24.9998,-82.2998,80,0
2005,GM,KATRINA,8/26/2005 18:00,24.9,-82.6,85,0
2005,GM,KATRINA,8/26/2005 21:00,24.75,-82.9426,87,0
2005,GM,KATRINA,8/27/2005 0:00,24.6,-83.3,90,0
2005,GM,KATRINA,8/27/2005 3:00,24.4774,-83.65,92,0
2005,GM,KATRINA,8/27/2005 6:00,24.4,-84,95,1
2005,GM,KATRINA,8/27/2005 9:00,24.3775,-84.3574,97,0
2005,GM,KATRINA,8/27/2005 12:00,24.4,-84.7,100,0
2005,GM,KATRINA,8/27/2005 15:00,24.4274,-85.0076,100,0
2005,GM,KATRINA,8/27/2005 18:00,24.5,-85.3,100,0
2005,GM,KATRINA,8/27/2005 21:00,24.6273,-85.5851,100,0
2005,GM,KATRINA,8/28/2005 0:00,24.8,-85.9,100,0
2005,GM,KATRINA,8/28/2005 3:00,24.9849,-86.2702,112,0
2005,GM,KATRINA,8/28/2005 6:00,25.2,-86.7,125,0
2005,GM,KATRINA,8/28/2005 9:00,25.435,-87.1926,135,0
2005,GM,KATRINA,8/28/2005 12:00,25.7,-87.7,145,0
2005,GM,KATRINA,8/28/2005 15:00,25.97,-88.1802,147,0
2005,GM,KATRINA,8/28/2005 18:00,26.3,-88.6,150,0
2005,GM,KATRINA,8/28/2005 21:00,26.7199,-88.9376,145,0
2005,GM,KATRINA,8/29/2005 0:00,27.2,-89.2,140,0
2005,GM,KATRINA,8/29/2005 3:00,27.6702,-89.447,132,0
2005,GM,KATRINA,8/29/2005 6:00,28.2,-89.6,125,0
2005,GM,KATRINA,8/29/2005 9:00,28.8072,-89.6162,116,0
2005,GM,KATRINA,8/29/2005 11:10,29.3,-89.6,110,0
2005,GM,KATRINA,8/29/2005 12:00,29.5,-89.6,110,0
2005,GM,KATRINA,8/29/2005 14:45,30.2,-89.6,105,0
2005,NA,KATRINA,8/29/2005 15:00,30.2673,-89.6019,103,0
2017,CS,HARVEY,8/21/2017 0:00,15.1,-78.6,25,0
2017,CS,HARVEY,8/21/2017 3:00,15.3771,-79.5352,25,0
2017,CS,HARVEY,8/21/2017 6:00,15.7,-80.5,25,0
2017,CS,HARVEY,8/21/2017 9:00,16.027,-81.4855,25,0
2017,CS,HARVEY,8/21/2017 12:00,16.4,-82.5,25,0
2017,CS,HARVEY,8/21/2017 15:00,16.8499,-83.5648,25,0
2017,CS,HARVEY,8/21/2017 18:00,17.3,-84.6,25,0
2017,CS,HARVEY,8/21/2017 21:00,17.6721,-85.5529,25,0
2017,CS,HARVEY,8/22/2017 0:00,18,-86.4,25,0
2017,CS,HARVEY,8/22/2017 3:00,18.2922,-87.1604,25,0
2017,NA,HARVEY,8/22/2017 6:00,18.6,-87.8,25,0
2017,NA,HARVEY,8/22/2017 9:00,18.9996,-88.3376,25,0
2017,NA,HARVEY,8/22/2017 12:00,19.4,-88.8,25,0
2017,NA,HARVEY,8/22/2017 15:00,19.7223,-89.2503,25,0
2017,NA,HARVEY,8/22/2017 18:00,20,-89.7,25,0
2017,NA,HARVEY,8/22/2017 21:00,20.265,-90.2001,25,0
2017,GM,HARVEY,8/23/2017 0:00,20.5,-90.7,25,0
2017,GM,HARVEY,8/23/2017 3:00,20.6999,-91.1727,25,0
2017,GM,HARVEY,8/23/2017 6:00,20.9,-91.6,25,0
2017,GM,HARVEY,8/23/2017 9:00,21.165,-92.0098,27,0
